Timestamp,"0. 추후 조사와의 join key가 될 **익명 ID**를 하나 입력해 주세요.  어떤 문자열이건 상관없으나, 반드시 기억하고 있어야 하며, 타인의 ID와 중복되지 않을 무언가여야 합니다. (e.g. 직박구리, 붕붕카를 탄 무지)",1. 아래 보기 중 본인의 통학 형태를 가장 설명하는 단어는?,"2. 학교에 등교하기까지 대략 몇 분 걸립니까? 편도 기준으로, '분' 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오. (e.g. 편도 1시간일 경우 60을 기입)","3. 보통 하루 수면시간은 몇시간 정도입니까? 수업이 있는 평일 기준으로, '시간' 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오. (e.g. 6시간일 경우 6을 기입)","4. 일주일에 보통 몇 회 정도 술을 먹습니까? ""회"" 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오.",5-1. 최근에 검사한 MBTI 결과의 첫 문자열 -- E vs. I,5-2. 최근에 검사한 MBTI 결과의 두번째 문자열 -- N vs. S,5-3. 최근에 검사한 MBTI 결과의 세번째 문자열 -- F vs. T,5-4. 최근에 검사한 MBTI 결과의 네번째 문자열 -- J vs. P
3/11/2024 9:05:28,케첩,대중교통/자가용 이용이 필요함,70,8,0,I,N,T,J
3/11/2024 9:06:13,심우석,대중교통/자가용 이용이 필요함,40,7,2,I,S,T,J
3/11/2024 9:06:22,오레오,대중교통/자가용 이용이 필요함,70,8,0,I,S,F,P
3/11/2024 9:06:37,쿵키,대중교통/자가용 이용이 필요함,85,5.5,1,E,N,T,J
3/11/2024 9:06:37,배고픈연어,대중교통/자가용 이용이 필요함,100,7,0,I,S,T,J
3/11/2024 9:06:41,굳건이,대중교통/자가용 이용이 필요없음,10,7,0,I,S,F,P
3/11/2024 9:06:42,미아사거리,대중교통/자가용 이용이 필요없음,40,7,1,E,S,F,P
3/11/2024 9:06:45,뇌쳐종,대중교통/자가용 이용이 필요함,40,8,0.5,I,N,F,J
3/11/2024 9:07:06,배고픈 춘식이,대중교통/자가용 이용이 필요함,60,6,0,E,S,T,J
3/11/2024 9:07:43,jcwlll,대중교통/자가용 이용이 필요함,40,6,0,I,N,T,P
3/11/2024 13:29:10,예또지,대중교통/자가용 이용이 필요함,90,6,1,E,N,F,P
3/11/2024 15:39:56,살려주세요,대중교통/자가용 이용이 필요함,80,4,0,I,S,T,모름
3/11/2024 17:17:08,산본지박령,대중교통/자가용 이용이 필요없음,15,8,0,I,S,F,P
3/11/2024 17:17:46,요리용맛김가루,대중교통/자가용 이용이 필요없음,15,7,3,I,N,T,J
3/11/2024 17:17:49,whd1424,대중교통/자가용 이용이 필요없음,12,7,1,E,N,F,P
3/11/2024 17:17:55,조물조물,대중교통/자가용 이용이 필요없음,30,7,2,E,N,T,P
3/11/2024 17:17:55,5uuni,대중교통/자가용 이용이 필요없음,15,4.5,0,I,S,T,P
3/11/2024 17:17:57,ryussyy,대중교통/자가용 이용이 필요없음,45,6,0,I,N,T,P
3/11/2024 17:18:09,lsw6361,대중교통/자가용 이용이 필요없음,15,7,1,E,S,T,P
3/11/2024 17:18:13,그래그래마왕,대중교통/자가용 이용이 필요함,30,8,2,E,N,F,P
3/11/2024 17:18:20,십일일월요일%,대중교통/자가용 이용이 필요없음,90,6,0,I,N,T,J
3/11/2024 17:18:43,우왕,대중교통/자가용 이용이 필요없음,10,9,0,I,S,F,P
3/11/2024 17:18:57,시그마,대중교통/자가용 이용이 필요없음,10,8,0.25,I,N,T,P
3/11/2024 17:19:12,보라돌이,대중교통/자가용 이용이 필요없음,10,7,1,E,S,F,J
3/11/2024 17:19:26,보라돌이,대중교통/자가용 이용이 필요함,35,5,1,E,S,F,J
3/11/2024 17:19:33,희망찬 직사각형,대중교통/자가용 이용이 필요함,50,7,3,I,S,T,P
3/11/2024 17:19:43,킹밥,대중교통/자가용 이용이 필요없음,10,5,0.5,I,S,F,J
3/11/2024 17:19:49,궁시렁 프로도,대중교통/자가용 이용이 필요없음,100,8,1,I,S,F,P
3/11/2024 17:20:21,김재광,대중교통/자가용 이용이 필요함,50,8,1,I,S,T,P
3/11/2024 17:22:27,완두콩,대중교통/자가용 이용이 필요없음,12,8,1,E,N,F,P
3/11/2024 17:22:48,집가고싶다,대중교통/자가용 이용이 필요없음,10,8,0,I,S,T,P
3/11/2024 17:35:02,그로밋,대중교통/자가용 이용이 필요함,80,8,1,I,S,F,J
3/11/2024 18:20:17,당근이,대중교통/자가용 이용이 필요없음,10,9,2,I,N,F,J
3/14/2024 16:54:17,커피사주세요,대중교통/자가용 이용이 필요없음,15,7,1,I,N,T,P