Timestamp,"0. 추후 조사와의 join key가 될 **익명 ID**를 하나 입력해 주세요.  어떤 문자열이건 상관없으나, 반드시 기억하고 있어야 하며, 타인의 ID와 중복되지 않을 무언가여야 합니다. (e.g. 직박구리, 붕붕카를 탄 무지)",1. 아래 보기 중 본인의 통학 형태를 가장 설명하는 단어는?,"2. 학교에 등교하기까지 대략 몇 분 걸립니까? 편도 기준으로, '분' 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오. (e.g. 편도 1시간일 경우 60을 기입)","3. 보통 하루 수면시간은 몇시간 정도입니까? 수업이 있는 평일 기준으로, '시간' 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오. (e.g. 6시간일 경우 6을 기입)","4. 일주일에 보통 몇 회 정도 술을 먹습니까? ""회"" 단위의 실수(real number) 또는 정수(integer)로 대답하여 주십시오.",5-1. 최근에 검사한 MBTI 결과의 첫 문자열 -- E vs. I,5-2. 최근에 검사한 MBTI 결과의 두번째 문자열 -- N vs. S,5-3. 최근에 검사한 MBTI 결과의 세번째 문자열 -- F vs. T,5-4. 최근에 검사한 MBTI 결과의 네번째 문자열 -- J vs. P,6. 제1전공(원전공)이 수학교육과입니까?,7. 관심있는 진로에 모두 표시해 보세요
2025/03/05 4:25:54 PM GMT+9,ㅁㄴㅇㄹasdf,대중교통/자가용 이용이 필요함,30,7,0,I,S,T,P,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:26:00 PM GMT+9,카르마,대중교통/자가용 이용이 필요함,30,7,0,I,N,F,J,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...);취업 (수학적인 역량이 필요한 직군: e.g. 데이터, 최적화, 인공지능, 보험계리, ...);취업 (그 외);대학원 (수학적인 역량이 필요한 분야: e.g. 수학, 통계학, 산업공학, 컴퓨터과학, 인공지능학, ...);대학원 (그 외)"
2025/03/05 4:26:05 PM GMT+9,레몬디톡스,대중교통/자가용 이용이 필요함,30,7,0,I,N,F,P,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...);취업 (수학적인 역량이 필요한 직군: e.g. 데이터, 최적화, 인공지능, 보험계리, ...);대학원 (수학적인 역량이 필요한 분야: e.g. 수학, 통계학, 산업공학, 컴퓨터과학, 인공지능학, ...)"
2025/03/05 4:26:05 PM GMT+9,류용근,대중교통/자가용 이용이 필요없음,20,8,3,I,S,T,J,예,"공교육 (중등학교 교사);취업 (수학적인 역량이 필요한 직군: e.g. 데이터, 최적화, 인공지능, 보험계리, ...)"
2025/03/05 4:26:23 PM GMT+9,민쟁,대중교통/자가용 이용이 필요함,90,6,1,E,N,F,P,예,"취업 (수학적인 역량이 필요한 직군: e.g. 데이터, 최적화, 인공지능, 보험계리, ...);취업 (그 외)"
2025/03/05 4:26:29 PM GMT+9,story1706,대중교통/자가용 이용이 필요함,90,7,2,E,N,F,J,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:26:30 PM GMT+9,mingyu9040,대중교통/자가용 이용이 필요함,70,7.5,0,I,S,F,P,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:26:39 PM GMT+9,초록비니,대중교통/자가용 이용이 필요함,20,7,0,I,S,T,J,예,"그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:26:43 PM GMT+9,리버스과탑,대중교통/자가용 이용이 필요함,90,7.5,8,E,N,F,P,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:26:44 PM GMT+9,심심이,대중교통/자가용 이용이 필요없음,10,8,1,I,S,T,P,예,"그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:26:56 PM GMT+9,KSG,대중교통/자가용 이용이 필요함,40,8,0,I,S,T,P,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:27:30 PM GMT+9,심,대중교통/자가용 이용이 필요함,80,6,0,E,N,T,P,예,취업 (그 외)
2025/03/05 4:27:35 PM GMT+9,Bae,대중교통/자가용 이용이 필요없음,10,8,1,I,S,T,J,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:27:41 PM GMT+9,산요,대중교통/자가용 이용이 필요함,90,12,2,I,S,T,J,아니오,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:27:53 PM GMT+9,역만,대중교통/자가용 이용이 필요함,120,6,0.25,I,S,F,J,예,공교육 (중등학교 교사)
2025/03/05 4:28:11 PM GMT+9,파란 가방,대중교통/자가용 이용이 필요함,120,6,0,E,S,F,J,예,"그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/05 4:29:11 PM GMT+9,전자출결 알리미,대중교통/자가용 이용이 필요함,60,9,1,I,N,F,J,예,"취업 (수학적인 역량이 필요한 직군: e.g. 데이터, 최적화, 인공지능, 보험계리, ...)"
2025/03/05 4:29:56 PM GMT+9,hey,대중교통/자가용 이용이 필요함,100,6,0,E,S,F,J,예,공교육 (중등학교 교사)
2025/03/05 4:31:24 PM GMT+9,주주,대중교통/자가용 이용이 필요함,110,7,0,I,S,T,J,아니오,공교육 (중등학교 교사)
2025/03/05 4:31:49 PM GMT+9,머리삔,대중교통/자가용 이용이 필요없음,5,7,1,I,S,T,P,예,"취업 (수학적인 역량이 필요한 직군: e.g. 데이터, 최적화, 인공지능, 보험계리, ...);대학원 (수학적인 역량이 필요한 분야: e.g. 수학, 통계학, 산업공학, 컴퓨터과학, 인공지능학, ...)"
2025/03/05 4:32:29 PM GMT+9,ho,대중교통/자가용 이용이 필요함,30,7,0,I,S,T,J,예,공교육 (중등학교 교사)
2025/03/05 4:32:40 PM GMT+9,winters7567@,대중교통/자가용 이용이 필요함,90,7,0,I,N,F,J,예,취업 (그 외)
2025/03/05 4:45:40 PM GMT+9,포뇨,대중교통/자가용 이용이 필요없음,95,7,0.5,E,S,T,P,예,"그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...);취업 (수학적인 역량이 필요한 직군: e.g. 데이터, 최적화, 인공지능, 보험계리, ...)"
2025/03/05 9:28:36 PM GMT+9,집이최고,대중교통/자가용 이용이 필요함,50,7,0,I,N,T,J,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...);취업 (그 외)"
2025/03/06 12:38:31 AM GMT+9,지환,대중교통/자가용 이용이 필요함,100,5,0.3,E,N,T,J,예,"대학원 (수학적인 역량이 필요한 분야: e.g. 수학, 통계학, 산업공학, 컴퓨터과학, 인공지능학, ...)"
2025/03/07 10:27:27 PM GMT+9,디카페인,대중교통/자가용 이용이 필요없음,100,7,1,I,N,F,P,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...)"
2025/03/08 9:17:31 PM GMT+9,춘식이,대중교통/자가용 이용이 필요없음,3,6,1,I,N,F,P,아니오,"대학원 (수학적인 역량이 필요한 분야: e.g. 수학, 통계학, 산업공학, 컴퓨터과학, 인공지능학, ...)"
2025/03/09 11:30:26 AM GMT+9,braian johnson nihongo,대중교통/자가용 이용이 필요함,30,7,0,I,S,T,P,예,"공교육 (중등학교 교사);그 외 교육계 (e.g. 사교육, 학원강사, 교육공무원, ...);취업 (그 외)"
2025/03/12 3:50:18 PM GMT+9,리트머스종이 ,대중교통/자가용 이용이 필요함,30,8,0,I,S,T,J,예,취업 (그 외)